nome_pt,nome_en,categoria,carbs_per_100g,fibra_per_100g,indice_glicemico,porcao_tipica_g,proteina_per_100g,gordura_per_100g
Arroz branco cozido,White rice cooked,cereal,28.1,1.6,73,150,2.5,0.2
Arroz integral cozido,Brown rice cooked,cereal,25.8,2.7,50,150,2.6,1.0
Feijao carioca cozido,Pinto beans cooked,leguminosa,14.0,8.5,39,80,4.8,0.5
Feijao preto cozido,Black beans cooked,leguminosa,14.0,8.4,30,80,4.5,0.5
Lentilha cozida,Lentils cooked,leguminosa,16.3,7.9,26,80,6.3,0.5
Pao frances,French bread roll,panificado,58.6,2.3,75,50,8.0,3.1
Pao integral,Whole wheat bread,panificado,44.0,6.9,53,50,9.4,3.7
Pao de queijo,Cheese bread,panificado,34.2,0.5,70,40,6.0,17.0
Tapioca,Tapioca crepe,cereal,87.8,0.0,85,80,0.0,0.2
Biscoito cream cracker,Cream cracker,panificado,68.0,2.1,65,30,9.5,14.0
Cuscuz de milho,Corn couscous,cereal,25.0,2.8,65,150,2.2,0.7
Macarrao cozido,Pasta cooked,cereal,19.9,1.5,49,200,5.8,0.9
Farinha de mandioca,Cassava flour,acompanhamento,89.2,6.4,70,20,1.2,0.3
Farofa,Toasted cassava flour mix,acompanhamento,46.2,5.4,70,30,1.5,12.0
Mandioca cozida,Boiled cassava,raiz,30.1,1.6,46,100,0.6,0.3
Batata cozida,Boiled potato,raiz,18.5,1.3,78,150,1.2,0.1
Batata doce cozida,Boiled sweet potato,raiz,18.2,2.6,46,150,0.6,0.1
Inhame cozido,Yam cooked,raiz,23.0,1.7,37,100,2.0,0.2
Banana prata,Silver banana,fruta,22.8,2.0,51,86,1.3,0.1
Banana nanica,Cavendish banana,fruta,23.8,1.9,62,100,1.4,0.1
Maca fuji,Fuji apple,fruta,15.2,1.3,36,130,0.3,0.2
Laranja pera,Pera orange,fruta,8.9,0.8,42,170,1.0,0.1
Mamao papaya,Papaya,fruta,11.6,1.8,60,170,0.5,0.1
Manga tommy,Tommy mango,fruta,15.0,1.6,56,150,0.4,0.2
Abacaxi,Pineapple,fruta,12.3,1.0,66,130,0.5,0.1
Melancia,Watermelon,fruta,8.1,0.1,76,200,0.9,0.1
Morango,Strawberry,fruta,6.8,1.7,25,150,0.9,0.3
Uva italia,Italia grape,fruta,13.7,0.9,53,100,0.7,0.2
Acai polpa pura,Pure acai pulp,fruta,6.2,2.6,40,100,0.8,3.9
Acai com granola e banana,Acai bowl with granola and banana,sobremesa,35.0,3.2,55,200,2.0,4.0
Frango grelhado,Grilled chicken breast,proteina,0.0,0.0,0,120,32.0,3.6
